id,quantity,name,price,receipt_id,issue_date,org_id,org_ico,org_dic,org_building_number,country,org_ic_dph,org_municipality,org_postal_code,org_name,org_street_name,unit_id,unit_building_number,unit_country,city,unit_postal_code,unit_property_registration_number,street,unit_name,product_name,product_name_en,brand,category,quantity_value,quantity_unit,latitude,longitude,month,year,month_year,weekday,receipt_price,is_luxury,is_bio,is_eco,main_category
1212,1.0,4-71-12-0641-8 30.0 ,29.95,71,2022-01-18 16:12:53,28,35832932,2020215912,Unknown,Slovensko,SK2020215912,Bratislava - mestská časť Petržalka,0.0,Leder & Schuh,Einsteinova,33,Unknown,Slovensko,Bratislava,82109.0,16,Mlynské Nivy,Unknown,Unknown,Unknown,Unknown,Vitamins & Ointments,0.0,Unknown,48.1458877,17.1272274,1,2022,2022-01,Tuesday,29.95,0,0,0,Health & Personal Care
1211,1.0,4-71-12-0695-8 33.0 ,37.95,71,2022-01-18 16:12:53,28,35832932,2020215912,Unknown,Slovensko,SK2020215912,Bratislava - mestská časť Petržalka,0.0,Leder & Schuh,Einsteinova,33,Unknown,Slovensko,Bratislava,82109.0,16,Mlynské Nivy,Unknown,Unknown,Unknown,Unknown,Baking,0.0,Unknown,48.1458877,17.1272274,1,2022,2022-01,Tuesday,37.95,0,0,0,Non-Food & Services
1213,1.0,5904248240332 OBUV CI12-JOY-03(III)CH,39.99,72,2022-03-24 16:06:02,24,46509500,2023414492,Unknown,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,0.0,CCC,Ivanská cesta,28,Unknown,Slovensko,Bratislava,82108.0,6,Metodova,Unknown,Obuv CI12-JOY-03(III)CH,Footwear CI12-JOY-03(III)CH,Unknown,Footwear,0.0,Unknown,48.1570204,17.1295242,3,2022,2022-03,Thursday,39.99,0,0,0,Services & Other
1214,1.0,5900949525822 PRÍSLUŠENSTVO ,2.95,72,2022-03-24 16:06:02,24,46509500,2023414492,Unknown,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,0.0,CCC,Ivanská cesta,28,Unknown,Slovensko,Bratislava,82108.0,6,Metodova,Unknown,Accessory,Unknown,Unknown,Unknown,0.0,Unknown,48.1570204,17.1295242,3,2022,2022-03,Thursday,2.95,0,0,0,Non-Food & Services
1148,1.0,5904248405014 OBUV CI12-HARRY-01,39.99,59,2022-05-06 18:21:47,24,46509500,2023414492,Unknown,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,0.0,CCC,Ivanská cesta,28,Unknown,Slovensko,Bratislava,82108.0,6,Metodova,Unknown,Obuv,Footwear,Unknown,Accessories,0.0,Unknown,48.1570204,17.1295242,5,2022,2022-05,Friday,39.99,0,0,0,Services & Other
1147,1.0,5904248540630 OBUV CP66-21857,17.99,59,2022-05-06 18:21:47,24,46509500,2023414492,Unknown,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,0.0,CCC,Ivanská cesta,28,Unknown,Slovensko,Bratislava,82108.0,6,Metodova,Unknown,Obuv,Footwear,Unknown,home/maintenance,0.0,Unknown,48.1570204,17.1295242,5,2022,2022-05,Friday,17.99,0,0,0,Home & Household
1149,1.0,5903698688336 PAPIEROVÁ TAŠKA CCC ,0.3,59,2022-05-06 18:21:47,24,46509500,2023414492,Unknown,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,0.0,CCC,Ivanská cesta,28,Unknown,Slovensko,Bratislava,82108.0,6,Metodova,Unknown,Papierová Taška,Paper Bag,CCC,Bags,0.0,Unknown,48.1570204,17.1295242,5,2022,2022-05,Friday,0.3,0,0,0,Home & Household
1146,1.0,5903698479316 OBUV CP92-21380,24.99,59,2022-05-06 18:21:47,24,46509500,2023414492,Unknown,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,0.0,CCC,Ivanská cesta,28,Unknown,Slovensko,Bratislava,82108.0,6,Metodova,Unknown,Unknown,Unknown,Unknown,Home/Maintenance,0.0,Unknown,48.1570204,17.1295242,5,2022,2022-05,Friday,24.99,0,0,0,Home & Household
1206,1.0,Ryžové rezance s kač. prsiami,10.9,70,2022-06-03 19:25:42,30,45670285,2023076539,Unknown,Slovensko,SK2023076539,Borinka,0.0,ŠmakNinka,Borinka,34,66,Slovensko,Stupava,90031.0,1555,Nová,Unknown,Ryžové rezance s kač. prsiami,Rice Noodles with Duck Breast,Unknown,Prepared Meals,0.0,Unknown,48.2795206,17.0487959,6,2022,2022-06,Friday,10.9,0,0,0,Food
1197,4.0,Citrónová šťava 1l,1.8,70,2022-06-03 19:25:42,30,45670285,2023076539,Unknown,Slovensko,SK2023076539,Borinka,0.0,ŠmakNinka,Borinka,34,66,Slovensko,Stupava,90031.0,1555,Nová,Unknown,Citrónová šťava,Lemon Juice,Unknown,Juice,1.0,L,48.2795206,17.0487959,6,2022,2022-06,Friday,7.2,0,0,0,Beverages
1202,3.0,Rebrá v BBQ,9.9,70,2022-06-03 19:25:42,30,45670285,2023076539,Unknown,Slovensko,SK2023076539,Borinka,0.0,ŠmakNinka,Borinka,34,66,Slovensko,Stupava,90031.0,1555,Nová,Unknown,Rebrá v BBQ,Ribs in BBQ,Unknown,Food,0.0,Unknown,48.2795206,17.0487959,6,2022,2022-06,Friday,29.700000000000003,0,0,0,Food
1201,1.0,"Bakalář nealko 0,5l",1.5,70,2022-06-03 19:25:42,30,45670285,2023076539,Unknown,Slovensko,SK2023076539,Borinka,0.0,ŠmakNinka,Borinka,34,66,Slovensko,Stupava,90031.0,1555,Nová,Unknown,Nealkoholické Pivo,Non-Alcoholic Beer,Bakalář,Beer,0.5,l,48.2795206,17.0487959,6,2022,2022-06,Friday,1.5,0,0,0,Beverages
1200,1.0,"Kofola originál 0,5l",1.2,70,2022-06-03 19:25:42,30,45670285,2023076539,Unknown,Slovensko,SK2023076539,Borinka,0.0,ŠmakNinka,Borinka,34,66,Slovensko,Stupava,90031.0,1555,Nová,Unknown,Originál nealko nápoj,Original Soft Drink,Kofola,Non-Alcoholic Drinks,0.5,L,48.2795206,17.0487959,6,2022,2022-06,Friday,1.2,0,0,0,Beverages
