org_name,city,street,longitude,latitude,receipt_price
Lidl,Bratislava,Trenčianska II.,17.1449668,48.1530182,3527.98
Lidl,Bratislava,Mlynské Nivy,17.1236678,48.1466793,3088.05
DALITRANS,Šaštín,M. R. Štefánika,17.1580345,48.6489574,1530.9
BESTAV,Šaštín,Zápotočná,17.1577057,48.6284083,1303.8
Barmis,Bratislava,Drieňová,17.1444648,48.1584839,1084.2
HORNBACH - Baumarkt,Bratislava,Devínska Nová Ves,17.0200933,48.2057193,917.11
Fakultná nemocnica s poliklinikou F D Roosevelta Banská Bystrica štátna príspevková organizácia,Partizánska Ľupča,Železnô,19.3934942,48.9536496,813.5
STAVCENTRUM A-Z,Šaštín,M.R. Štefánika,17.1555926,48.648236,790.02
COOP Jednota,Šaštín,Šaštín-Stráže,17.1439377,48.6380414,666.49
dm drogerie markt,Bratislava,Mlynské Nivy,17.1300312,48.1462159,580.3
Lidl,Senica,Továrenská,17.3654949,48.6835217,548.04
Lidl,Bratislava,Jiráskova,17.1004467,48.1128351,498.06
Štatistické a evidenčné vydavateľstvo tlačív ŠEVT skrátená verzia obchodného mena,Bratislava,Mlynské Nivy,17.1236678,48.1466793,427.31
TESCO STORES,Kúty,Štefánikova,17.0226617,48.657864,414.13
Husacina Galik,Slovenský Grob,Lipová,17.2752732,48.2598136,407.6
Peek & Cloppenburg,Bratislava,Mlynské Nivy,17.1236678,48.1466793,395.15999999999997
Bioaspa,Kúty,Hollého,17.0116554,48.6572185,381.2
1 DENTÁLNE CENTRUM,Bratislava,Záporožská,17.0972797,48.1263382,376.0
Tomáš Haba - Rozličný tovar,Štefanov,Štefanov,17.1998277,48.6808287,323.53
Leberko,Bratislava,Trenčianska,17.1391596,48.1525516,321.2
Medusa Restaurants,Bratislava,Krížna,17.1282908,48.1578904,312.8
Decathlon,Bratislava,Devínska Nová Ves,17.0255653,48.205945,310.05
TRICK,Bratislava,Prešovska,17.1437948,48.160531,309.7
Peek & Cloppenburg,Bratislava,IVÁNSKA CESTA,17.1803977,48.1653268,299.96
BENU 61,Bratislava,Mlynské Nivy,17.1236678,48.1466793,297.58
Irin,Bratislava,Rudnayovo námestie,17.10576,48.1422213,296.0
WANI,Borský Mikuláš,Na Výhone,17.1920087,48.6417462,287.0
Tomáš Haba,Štefanov,Štefanov,17.1998277,48.6808287,283.52
Medusa Restaurants,Bratislava,Starohájska,17.1192346,48.1184624,283.1
EMKAR market,Bratislava,Dulovo nám.,17.1346718,48.1491689,257.6
ALBI,Bratislava,Mlynské Nivy,17.1236678,48.1466793,254.12
Team Up,Bratislava,Studená,17.1790016,48.183316,253.89999999999998
BRIGHT INVESTMENT GROUP,Bratislava,Mlynské Nivy,17.1277397,48.147324,236.25
CCC,Bratislava,Metodova,17.1295242,48.1570204,233.66
ALLTOYS,Bratislava,Mlynské Nivy,17.1236678,48.1466793,224.13
