,id,quantity,name,price,fs_receipt_id,fs_receipt_issue_date,org_id,org_ico,org_dic,org_building_number,org_country,org_ic_dph,org_municipality,org_postal_code,org_name,org_street_name,unit_id,unit_building_number,unit_country,unit_municipality,unit_postal_code,unit_property_registration_number,unit_street_name,unit_name,ai_name_without_brand_and_quantity,ai_name_in_english_without_brand_and_quantity,ai_brand,ai_category,ai_quantity_value,ai_quantity_unit,unit_latitude,unit_longitude
0,1212,1.0,4-71-12-0641-8 30.0 ,29.95,71,2022-01-18 16:12:53.000000 +00:00,28,35832932,2020215912,,Slovensko,SK2020215912,Bratislava - mestská časť Petržalka,,Leder & Schuh SK spol. s r.o.,Einsteinova,33,,Slovensko,Bratislava,82109,16,Mlynské Nivy,,,,,Vitamins & Ointments,,,48.1458877,17.1272274
1,1211,1.0,4-71-12-0695-8 33.0 ,37.95,71,2022-01-18 16:12:53.000000 +00:00,28,35832932,2020215912,,Slovensko,SK2020215912,Bratislava - mestská časť Petržalka,,Leder & Schuh SK spol. s r.o.,Einsteinova,33,,Slovensko,Bratislava,82109,16,Mlynské Nivy,,,,,Baking,,,48.1458877,17.1272274
2,1213,1.0,5904248240332 OBUV CI12-JOY-03(III)CH,39.99,72,2022-03-24 16:06:02.000000 +00:00,24,46509500,2023414492,,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,,"CCC Slovakia, s. r. o.",Ivanská cesta,28,,Slovensko,Bratislava,82108,6,Metodova,,Obuv CI12-JOY-03(III)CH,Footwear CI12-JOY-03(III)CH,,Footwear,,,48.1570204,17.1295242
3,1214,1.0,5900949525822 PRÍSLUŠENSTVO ,2.95,72,2022-03-24 16:06:02.000000 +00:00,24,46509500,2023414492,,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,,"CCC Slovakia, s. r. o.",Ivanská cesta,28,,Slovensko,Bratislava,82108,6,Metodova,,Accessory,,,,,,48.1570204,17.1295242
4,1148,1.0,5904248405014 OBUV CI12-HARRY-01,39.99,59,2022-05-06 18:21:47.000000 +00:00,24,46509500,2023414492,,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,,"CCC Slovakia, s. r. o.",Ivanská cesta,28,,Slovensko,Bratislava,82108,6,Metodova,,Obuv,Footwear,,Accessories,,,48.1570204,17.1295242
5,1147,1.0,5904248540630 OBUV CP66-21857,17.99,59,2022-05-06 18:21:47.000000 +00:00,24,46509500,2023414492,,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,,"CCC Slovakia, s. r. o.",Ivanská cesta,28,,Slovensko,Bratislava,82108,6,Metodova,,Obuv,Footwear,,home/maintenance,,,48.1570204,17.1295242
6,1149,1.0,5903698688336 PAPIEROVÁ TAŠKA CCC ,0.3,59,2022-05-06 18:21:47.000000 +00:00,24,46509500,2023414492,,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,,"CCC Slovakia, s. r. o.",Ivanská cesta,28,,Slovensko,Bratislava,82108,6,Metodova,,Papierová Taška,Paper Bag,CCC,Bags,,,48.1570204,17.1295242
7,1146,1.0,5903698479316 OBUV CP92-21380,24.99,59,2022-05-06 18:21:47.000000 +00:00,24,46509500,2023414492,,Slovensko,SK2023414492,Bratislava - mestská časť Ružinov,,"CCC Slovakia, s. r. o.",Ivanská cesta,28,,Slovensko,Bratislava,82108,6,Metodova,,,,,Home/Maintenance,,,48.1570204,17.1295242
8,1206,1.0,Ryžové rezance s kač. prsiami,10.9,70,2022-06-03 19:25:42.000000 +00:00,30,45670285,2023076539,,Slovensko,SK2023076539,Borinka,,ŠmakNinka s. r. o.,Borinka,34,66,Slovensko,Stupava,90031,1555,Nová,,Ryžové rezance s kač. prsiami,Rice Noodles with Duck Breast,,Prepared Meals,,,48.2795206,17.0487959
9,1197,4.0,Citrónová šťava 1l,1.8,70,2022-06-03 19:25:42.000000 +00:00,30,45670285,2023076539,,Slovensko,SK2023076539,Borinka,,ŠmakNinka s. r. o.,Borinka,34,66,Slovensko,Stupava,90031,1555,Nová,,Citrónová šťava,Lemon Juice,,Juice,1.0,L,48.2795206,17.0487959
